Rank,POS bigrams preferred by Baroque,Example
1,NP-AQ (proper noun - adjective),
2,NP-CS (proper noun - subordinating conjuction),
3,DA-NP (article - proper noun),
4,CC-NP (coordinating conjuction - proper noun),
5,I-NP (interjection - proper noun),
6,NP-PR (proper noun - relative pronoun),
7,NP-DP (proper noun - possesive determiner),
8,NP-CC (proper noun - coordinating conjuction),
9,NP-DA (proper noun - article),
10,NC-PD (common noun - demostrative pronoun),
11,NP-NP (proper noun - proper noun),
12,SP-NP (preposition - proper noun),
13,DA-Z (article - number),
14,RG-NP (adverb - proper noun),
15,CS-AQ (subordinating conjuction - adjective),
