Rank,POS trigrams preferred by Baroque,Example
1,VM-DA-NP (main verb - article - proper noun),
2,VM-SP-NP (main verb - preposition - proper noun),
3,SP-DA-NP (preposition - article - proper noun),
4,NC-NC-AQ (common noun - common noun - adjective),
5,NC-SP-NP (common noun - preposition - preposition),
6,CC-NC-SP (coordinating conjuction - common noun - preposition),
7,SP-NP-CC (preposition - proper noun - coordinating conjuction),
8,DA-NP-VM (article - proper noun - main verb),
9,NP-DA-NC (proper noun - article - common noun),
10,NC-VS-NC (common noun - semiauxiliary verb - common noun),
11,NP-NC-SP (proper noun - common noun - preposition),
12,NC-AQ-SP (common noun - adjective - preposition),
13,CC-NC-AQ (coordinating conjuction - common noun - adjective),
14,NP-DP-NC (proper noun - possesive determiner - common noun),
15,NP-SP-DA (proper noun - preposition - article),
