Rank,POS trigrams preferred by Renaissance,Example
1,RG-SP-PP (adverb - preposition - personal pronoun),
2,SP-PP-PP (preposition - personal pronoun - personal pronoun),
3,VM-RG-RG (main verb - adverb - adverb),
4,VM-CC-RG (main verb - coordinating conjuction - adverb),
5,VM-SP-RG (main verb - preposition - adverb),
6,DP-NC-PR (possesive determiner - common noun - relative pronoun),
7,SP-VM-DI (preposition - main verb - indefinite determiner),
8,CS-SP-PP (subordinating conjuction - preposition - personal pronoun),
9,NC-PR-RG (common noun - relative pronoun - adverb),
10,RG-VM-PR (adverb - main verb - relative pronoun),
11,CC-VM-RG (coordinating conjuction - main verb - adverb),
12,DI-NC-PR (indefinite determiner - common noun - relative pronoun),
13,VM-PR-RG (main verb - relative pronoun - adverb),
14,RG-SP-DP (adverb - preposition - possesive determiner),
15,SP-PP-SP (preposition - personal pronoun preposition),
